date,hour,day_of_week,temperature,rainfall,event_flag,burger_orders,fries_orders,wrap_orders,bucket_orders,drink_orders
2025-01-01,0,2,30.3,0.0,0,2,5,1,0,3
2025-01-01,1,2,29.6,0.0,0,3,4,0,1,4
2025-01-01,2,2,29.5,4.0,0,1,2,2,0,2
2025-01-01,3,2,29.4,0.0,0,3,1,0,2,2
2025-01-01,4,2,28.2,0.0,0,1,3,0,0,3
2025-01-01,5,2,27.5,0.0,0,3,1,0,2,3
2025-01-01,6,2,22.3,0.0,0,3,3,3,0,3
2025-01-01,7,2,28.2,0.0,0,2,2,1,0,2
2025-01-01,8,2,24.1,0.0,0,3,6,2,3,2
2025-01-01,9,2,22.2,0.0,0,5,3,1,3,6
2025-01-01,10,2,21.2,0.0,0,6,7,5,4,9
2025-01-01,11,2,22.7,0.0,0,9,12,6,4,16
2025-01-01,12,2,20.9,0.0,0,14,16,8,8,23
2025-01-01,13,2,19.1,5.9,0,21,23,14,10,33
2025-01-01,14,2,18.8,0.0,0,15,17,10,8,22
2025-01-01,15,2,19.6,0.0,0,9,15,9,7,20
2025-01-01,16,2,20.6,4.8,0,11,15,7,6,20
2025-01-01,17,2,19.3,0.0,0,11,14,5,5,17
2025-01-01,18,2,20.0,0.0,0,11,16,6,5,19
2025-01-01,19,2,25.9,0.0,0,13,16,8,6,24
2025-01-01,20,2,25.4,0.0,0,13,21,9,8,26
2025-01-01,21,2,28.1,0.4,0,13,17,9,7,24
2025-01-01,22,2,27.3,0.0,0,11,14,9,6,17
2025-01-01,23,2,27.9,0.0,0,8,9,5,3,13
2025-01-02,0,3,28.6,0.0,0,3,4,2,0,2
2025-01-02,1,3,32.1,0.0,0,3,2,2,2,3
2025-01-02,2,3,30.8,8.7,0,3,3,3,2,5
2025-01-02,3,3,29.2,0.0,0,2,1,0,2,3
2025-01-02,4,3,30.7,0.0,0,1,3,3,1,4
2025-01-02,5,3,30.5,0.0,0,1,2,2,1,5
2025-01-02,6,3,27.3,0.0,0,1,3,0,2,2
2025-01-02,7,3,25.2,0.0,0,3,1,0,0,3
2025-01-02,8,3,22.2,0.7,0,3,5,1,1,4
2025-01-02,9,3,26.1,0.0,0,2,4,2,3,4
2025-01-02,10,3,24.3,0.0,0,5,6,3,6,9
2025-01-02,11,3,24.3,0.0,0,11,14,7,5,17
2025-01-02,12,3,21.6,0.0,0,14,19,8,8,20
2025-01-02,13,3,19.1,0.0,0,14,20,13,6,23
2025-01-02,14,3,20.1,0.0,0,16,18,8,10,24
2025-01-02,15,3,23.5,0.0,0,12,16,7,6,22
2025-01-02,16,3,21.0,0.0,0,9,11,5,4,16
2025-01-02,17,3,21.0,0.0,0,9,12,5,4,15
2025-01-02,18,3,22.2,0.0,0,10,16,6,7,18
2025-01-02,19,3,24.6,0.0,0,16,17,10,6,22
2025-01-02,20,3,23.6,0.0,0,13,18,10,7,23
2025-01-02,21,3,25.5,0.0,0,12,16,10,7,24
2025-01-02,22,3,29.5,0.0,0,10,13,6,6,19
2025-01-02,23,3,29.4,0.0,0,6,10,7,4,13
2025-01-03,0,4,29.9,0.0,0,2,5,0,1,4
2025-01-03,1,4,32.1,0.0,0,2,2,1,0,2
2025-01-03,2,4,28.9,1.1,0,3,1,1,2,2
2025-01-03,3,4,29.5,0.0,0,3,1,1,2,2
2025-01-03,4,4,24.4,0.3,0,1,2,0,1,2
2025-01-03,5,4,29.6,0.0,0,2,2,4,2,2
2025-01-03,6,4,27.5,0.0,0,2,2,2,0,2
2025-01-03,7,4,27.4,0.0,0,1,1,0,0,4
2025-01-03,8,4,25.9,0.0,0,2,3,2,3,4
2025-01-03,9,4,23.9,1.4,0,4,5,2,4,6
2025-01-03,10,4,20.7,1.9,0,6,8,5,4,11
2025-01-03,11,4,19.8,0.0,0,9,14,8,6,15
2025-01-03,12,4,20.6,1.3,0,16,21,11,6,23
2025-01-03,13,4,21.1,0.0,0,14,21,11,9,25
2025-01-03,14,4,21.9,0.0,0,14,17,10,8,23
2025-01-03,15,4,18.2,2.6,0,11,16,8,6,24
2025-01-03,16,4,23.8,0.0,0,11,11,7,5,13
2025-01-03,17,4,19.0,0.0,1,32,38,17,14,46
2025-01-03,18,4,20.9,1.8,1,35,53,27,20,67
2025-01-03,19,4,22.9,0.0,1,42,56,27,24,74
2025-01-03,20,4,25.4,2.1,1,47,71,30,26,85
2025-01-03,21,4,25.9,2.3,1,45,62,28,25,84
2025-01-03,22,4,29.1,0.8,1,36,45,26,18,65
2025-01-03,23,4,28.6,5.2,0,9,13,5,4,17
2025-01-04,0,5,29.1,0.0,0,5,5,2,2,7
2025-01-04,1,5,31.5,0.0,0,4,4,3,2,10
2025-01-04,2,5,33.2,0.0,0,4,9,3,2,8
2025-01-04,3,5,35.4,4.6,0,8,7,3,2,10
2025-01-04,4,5,30.4,0.0,0,5,4,2,2,6
2025-01-04,5,5,30.6,0.0,0,4,4,4,3,6
2025-01-04,6,5,29.1,0.0,0,3,4,3,3,6
2025-01-04,7,5,27.4,0.0,0,4,7,3,3,7
2025-01-04,8,5,24.2,0.0,0,4,6,3,3,7
2025-01-04,9,5,24.7,0.0,0,7,12,5,6,15
2025-01-04,10,5,23.6,0.4,0,15,19,9,8,24
2025-01-04,11,5,20.6,0.0,0,26,31,15,16,39
2025-01-04,12,5,23.3,0.0,0,36,49,23,21,59
2025-01-04,13,5,23.3,0.0,0,40,55,22,30,64
2025-01-04,14,5,19.0,0.0,0,39,45,24,24,59
2025-01-04,15,5,18.4,0.0,0,28,37,19,18,46
2025-01-04,16,5,22.0,0.0,0,22,31,17,16,41
2025-01-04,17,5,23.9,0.9,1,79,106,49,51,129
2025-01-04,18,5,21.2,0.0,1,88,118,56,58,144
2025-01-04,19,5,22.6,0.0,1,104,142,70,74,179
2025-01-04,20,5,26.1,0.0,1,104,158,75,76,194
2025-01-04,21,5,28.5,0.0,1,104,135,69,70,186
2025-01-04,22,5,27.5,0.0,1,84,110,55,59,159
2025-01-04,23,5,34.5,0.0,0,21,27,16,12,38
2025-01-05,0,6,27.9,0.0,0,5,4,2,2,5
2025-01-05,1,6,31.5,0.0,0,4,4,2,2,7
2025-01-05,2,6,30.2,5.3,0,4,5,3,2,10
2025-01-05,3,6,31.9,0.0,0,4,6,3,4,6
2025-01-05,4,6,29.1,0.0,0,4,4,2,3,6
2025-01-05,5,6,30.8,0.0,0,3,5,2,3,6
2025-01-05,6,6,26.3,0.0,0,5,4,4,4,5
2025-01-05,7,6,26.0,0.0,0,4,4,4,2,6
2025-01-05,8,6,26.9,1.9,0,5,6,4,5,9
2025-01-05,9,6,27.9,0.0,0,9,11,4,4,13
2025-01-05,10,6,23.3,0.0,0,15,17,8,10,23
2025-01-05,11,6,19.9,0.0,0,26,33,19,15,39
2025-01-05,12,6,23.5,0.0,0,32,48,22,25,52
2025-01-05,13,6,23.0,0.0,0,36,54,25,25,60
2025-01-05,14,6,21.7,0.0,0,32,50,25,25,62
2025-01-05,15,6,21.9,0.0,0,29,39,16,24,47
2025-01-05,16,6,22.4,0.0,0,21,32,17,16,41
2025-01-05,17,6,29.9,0.0,1,68,92,46,52,129
2025-01-05,18,6,25.1,0.0,1,87,110,57,61,148
2025-01-05,19,6,25.7,0.0,1,109,139,72,77,179
2025-01-05,20,6,24.1,0.0,1,110,149,74,82,194
2025-01-05,21,6,26.5,1.3,1,110,153,71,79,195
2025-01-05,22,6,24.6,0.0,1,85,115,57,57,144
2025-01-05,23,6,29.9,0.1,0,20,23,15,13,35
2025-01-06,0,0,29.2,1.5,0,1,3,1,1,5
2025-01-06,1,0,32.9,0.0,0,2,1,0,0,3
2025-01-06,2,0,32.0,0.1,0,3,1,0,1,3
2025-01-06,3,0,28.1,0.0,0,1,2,0,1,3
2025-01-06,4,0,34.5,0.0,0,1,2,1,0,3
2025-01-06,5,0,30.7,0.0,0,3,2,0,2,2
2025-01-06,6,0,24.3,0.0,0,1,1,3,2,6
2025-01-06,7,0,27.5,1.2,0,1,3,3,1,2
2025-01-06,8,0,24.3,0.3,0,1,3,1,2,4
2025-01-06,9,0,27.9,1.6,0,3,4,2,2,7
2025-01-06,10,0,25.3,6.2,0,6,11,7,3,10
2025-01-06,11,0,24.9,0.0,0,8,13,8,5,14
2025-01-06,12,0,25.8,0.0,0,13,17,8,6,22
2025-01-06,13,0,23.1,0.9,0,17,24,9,9,26
2025-01-06,14,0,20.4,1.4,0,13,19,10,6,28
2025-01-06,15,0,24.8,0.0,0,10,13,8,6,21
2025-01-06,16,0,21.0,0.0,0,10,11,6,5,17
2025-01-06,17,0,19.8,0.0,0,10,14,6,4,18
2025-01-06,18,0,22.5,0.0,1,35,48,24,18,58
2025-01-06,19,0,24.8,0.0,1,49,59,24,19,68
2025-01-06,20,0,28.2,0.0,1,46,61,28,23,80
2025-01-06,21,0,27.2,0.1,1,39,52,25,20,76
2025-01-06,22,0,28.0,0.0,1,32,44,23,18,56
2025-01-06,23,0,29.5,0.0,0,7,11,6,3,13
2025-01-07,0,1,26.6,0.0,0,1,2,0,0,3
2025-01-07,1,1,33.4,0.0,0,1,2,2,0,3
2025-01-07,2,1,32.4,0.0,0,4,2,1,1,2
2025-01-07,3,1,31.0,0.0,0,2,5,1,1,3
2025-01-07,4,1,29.4,0.0,0,1,3,3,1,3
2025-01-07,5,1,30.0,0.0,0,3,1,1,1,2
2025-01-07,6,1,27.3,0.0,0,4,3,2,0,3
2025-01-07,7,1,26.6,0.0,0,2,3,0,0,4
2025-01-07,8,1,26.8,0.0,0,2,4,2,0,3
2025-01-07,9,1,25.9,0.0,0,2,4,2,1,6
2025-01-07,10,1,24.6,0.0,0,7,7,3,3,10
2025-01-07,11,1,21.1,0.0,0,9,16,6,4,14
2025-01-07,12,1,18.1,0.0,0,14,19,7,6,23
2025-01-07,13,1,18.8,0.0,0,14,17,10,6,26
2025-01-07,14,1,24.1,0.0,0,15,17,9,6,28
2025-01-07,15,1,20.3,0.0,0,12,14,6,7,21
2025-01-07,16,1,21.7,0.0,0,8,11,7,4,15
2025-01-07,17,1,24.4,0.0,0,10,11,5,5,17
2025-01-07,18,1,23.1,4.7,0,14,23,10,8,22
2025-01-07,19,1,26.4,0.8,0,13,20,10,7,25
2025-01-07,20,1,29.9,0.0,0,14,21,8,8,26
2025-01-07,21,1,29.5,0.0,0,15,19,7,7,23
2025-01-07,22,1,30.9,0.0,0,12,15,8,5,18
2025-01-07,23,1,27.2,0.0,0,7,9,7,3,15
2025-01-08,0,2,29.1,0.0,0,2,3,1,1,4
2025-01-08,1,2,31.0,0.0,0,4,2,1,0,3
2025-01-08,2,2,30.6,0.0,0,2,3,0,1,5
2025-01-08,3,2,32.6,0.0,0,3,3,2,1,3
2025-01-08,4,2,31.8,0.0,0,1,1,2,0,3
2025-01-08,5,2,32.5,2.4,0,2,1,0,1,3
2025-01-08,6,2,27.8,8.6,0,2,3,2,0,3
2025-01-08,7,2,28.0,0.0,0,4,1,0,0,3
2025-01-08,8,2,28.5,0.0,0,1,4,1,0,3
2025-01-08,9,2,24.0,0.0,0,2,4,1,4,5
2025-01-08,10,2,22.4,3.0,0,5,7,5,4,9
2025-01-08,11,2,25.4,0.0,0,9,11,8,5,14
2025-01-08,12,2,23.6,0.0,0,15,16,10,8,22
2025-01-08,13,2,21.1,0.0,0,15,21,9,7,25
2025-01-08,14,2,21.2,0.3,0,13,21,10,7,23
2025-01-08,15,2,20.8,0.0,0,11,14,7,6,22
2025-01-08,16,2,24.4,0.0,0,9,12,5,5,14
2025-01-08,17,2,24.2,0.0,0,10,12,6,5,16
2025-01-08,18,2,20.8,0.0,0,15,16,6,5,18
2025-01-08,19,2,23.2,0.0,0,14,16,8,6,21
2025-01-08,20,2,26.3,0.0,0,16,20,13,7,24
2025-01-08,21,2,29.5,1.6,0,15,21,9,9,29
2025-01-08,22,2,28.8,0.0,0,11,14,8,6,21
2025-01-08,23,2,30.7,0.0,0,8,11,4,4,13
2025-01-09,0,3,35.0,0.0,0,3,4,3,1,3
2025-01-09,1,3,29.7,0.0,0,1,3,1,4,3
2025-01-09,2,3,35.8,0.0,0,3,1,1,0,3
2025-01-09,3,3,29.6,0.0,0,2,1,2,2,4
2025-01-09,4,3,26.5,0.0,0,2,4,2,1,2
2025-01-09,5,3,28.9,7.3,0,4,2,2,1,2
2025-01-09,6,3,25.0,0.0,0,1,3,0,0,3
2025-01-09,7,3,28.4,0.0,0,3,1,1,0,4
2025-01-09,8,3,27.9,0.0,0,2,2,3,1,5
2025-01-09,9,3,28.0,0.0,0,4,4,1,1,5
